123,CVX,93410,Chevron Corporation
124,D,715957,"Dominion Resources, Inc."
125,DAL,27904,"Delta Air Lines, Inc."
126,DD,30554,E. I. du Pont de Nemours and Company
127,DE,315189,Deere & Company
128,DFS,1393612,Discover Financial Services
129,DG,29534,Dollar General Corporation
130,DGX,1022079,Quest Diagnostics Inc.
131,DHI,882184,DR Horton Inc.
132,DHR,313616,Danaher Corp.
133,DIS,1001039,The Walt Disney Company
134,DISCA,1437107,"Discovery Communications, Inc."
136,DLPH,1521332,Delphi Automotive PLC
137,DLTR,935703,"Dollar Tree, Inc."
138,DNB,1115222,Dun & Bradstreet Corp.
139,DNR,945764,Denbury Resources Inc.
140,DO,949039,"Diamond Offshore Drilling, Inc."
141,DOV,29905,Dover Corporation
142,DOW,29915,The Dow Chemical Company
143,DPS,1418135,"Dr Pepper Snapple Group, Inc."
144,DRI,940944,"Darden Restaurants, Inc."
145,DTE,936340,DTE Energy Company
146,DTV,1465112,DIRECTV
147,DUK,1326160,Duke Energy Corporation
148,DVA,927066,DaVita HealthCare Partners Inc.
149,DVN,1090012,Devon Energy Corporation
150,EA,712515,Electronic Arts Inc.
151,EBAY,1065088,eBay Inc.
152,ECL,31462,Ecolab Inc.
153,ED,1047862,"Consolidated Edison, Inc."
154,EFX,33185,Equifax Inc.
155,EIX,827052,Edison International
156,EL,1001250,Estee Lauder Companies Inc.
157,EMC,790070,EMC Corporation
158,EMN,915389,Eastman Chemical Co.
159,EMR,32604,Emerson Electric Co.
160,EOG,821189,"EOG Resources, Inc."
161,EQR,906107,Equity Residential
162,EQT,33213,EQT Corporation
163,ESRX,1532063,Express Scripts Holding Company
164,ESS,920522,Essex Property Trust Inc.
165,ESV,314808,Ensco plc
166,ETFC,1015780,E*TRADE Financial Corporation
167,ETN,1551182,Eaton Corporation plc
168,ETR,65984,Entergy Corporation
169,EW,1099800,Edwards Lifesciences Corp.
170,EXC,1109357,Exelon Corporation
171,EXPD,746515,Expeditors International of Washington Inc.
172,EXPE,1324424,Expedia Inc.
173,F,37996,Ford Motor Co.
174,FAST,815556,Fastenal Company
175,FB,1326801,"Facebook, Inc."
176,FCX,831259,Freeport-McMoRan Inc.
177,FDO,34408,Family Dollar Stores Inc.
178,FDX,1048911,FedEx Corporation
179,FE,1031296,FirstEnergy Corp.
180,FFIV,1048695,"F5 Networks, Inc."
181,FIS,1136893,"Fidelity National Information Services, Inc."
182,FISV,798354,"Fiserv, Inc."
183,FITB,35527,Fifth Third Bancorp
184,FLIR,354908,"FLIR Systems, Inc."
185,FLR,1124198,Fluor Corporation
186,FLS,30625,Flowserve Corp.
187,FMC,37785,FMC Corp.
188,FOSL,883569,"Fossil Group, Inc."
189,FOXA,1308161,"Twenty-First Century Fox, Inc."
190,FSLR,1274494,"First Solar, Inc."
191,FTI,1135152,"FMC Technologies, Inc."
192,FTR,20520,Frontier Communications Corporation
193,GAS,1004155,AGL Resources Inc.
194,GCI,39899,"Gannett Co., Inc."
195,GD,40533,General Dynamics Corporation
196,GE,40545,General Electric Company
197,GGP,1496048,"General Growth Properties, Inc"
198,GHC,104889,Graham Holdings
199,GILD,882095,Gilead Sciences Inc.
200,GIS,40704,"General Mills, Inc."
201,GLW,24741,Corning Inc.
202,GM,1467858,General Motors Company
203,GMCR,909954,"Keurig Green Mountain, Inc."
204,GME,1326380,GameStop Corp.
205,GNW,1276520,"Genworth Financial, Inc."
206,GOOG,1288776,Google Inc.
208,GPC,40987,Genuine Parts Company
209,GPS,39911,"The Gap, Inc."
210,GRMN,1121788,Garmin Ltd.
211,GS,886982,"The Goldman Sachs Group, Inc."
212,GT,42582,The Goodyear Tire & Rubber Company
213,GWW,277135,"W.W. Grainger, Inc."
214,HAL,45012,Halliburton Company
215,HAR,800459,"Harman International Industries, Incorporated"
216,HAS,46080,Hasbro Inc.
217,HBAN,49196,Huntington Bancshares Incorporated
218,HCBK,921847,"Hudson City Bancorp, Inc."
219,HCN,766704,"Health Care REIT, Inc."
220,HCP,765880,"HCP, Inc."
221,HD,354950,"The Home Depot, Inc."
222,HES,4447,Hess Corporation
223,HIG,874766,"The Hartford Financial Services Group, Inc."
224,HOG,793952,"Harley-Davidson, Inc."
225,HON,773840,Honeywell International Inc.
226,HOT,316206,Starwood Hotels & Resorts Worldwide Inc.
227,HP,46765,"Helmerich & Payne, Inc."
228,HPQ,47217,Hewlett-Packard Company
229,HRB,12659,"H&R Block, Inc."
230,HRL,48465,Hormel Foods Corporation
231,HRS,202058,Harris Corporation
232,HSP,1274057,Hospira Inc.
233,HST,1070750,"Host Hotels & Resorts, Inc."
234,HSY,47111,The Hershey Company
235,HUM,49071,Humana Inc.
236,IBM,51143,International Business Machines Corporation
237,ICE,1571949,"Intercontinental Exchange, Inc."
238,IFF,51253,International Flavors & Fragrances Inc.
239,INTC,50863,Intel Corporation
240,INTU,896878,Intuit Inc.
241,IP,51434,International Paper Company
242,IPG,51644,"The Interpublic Group of Companies, Inc."
243,IR,1466258,Ingersoll-Rand Plc
244,IRM,1020569,Iron Mountain Inc.
245,ISRG,1035267,"Intuitive Surgical, Inc."
246,ITW,49826,Illinois Tool Works Inc.
